data,categoria,valor
2025-03-30,Moradia,342
2025-05-05,Transporte,105
2025-01-21,Sa̼de,299
2025-09-30,Alimenta̤̣o,58
2025-02-21,Alimenta̤̣o,313
2025-02-24,Transporte,73
2025-11-24,Transporte,195
2025-02-23,Alimenta̤̣o,226
2025-06-17,Sa̼de,41
2025-11-10,Moradia,249
2025-11-23,Moradia,177
2025-12-07,Moradia,297
2025-07-21,Alimenta̤̣o,144
2025-01-18,Lazer,120
2025-09-30,Sa̼de,345
2025-02-21,Alimenta̤̣o,330
2025-03-01,Sa̼de,272
2025-03-05,Sa̼de,267
2025-02-09,Moradia,158
2025-01-22,Moradia,210
2025-09-04,Alimenta̤̣o,251
2025-04-11,Lazer,280
2025-03-12,Sa̼de,256
2025-06-02,Moradia,350
2025-04-12,Lazer,345
2025-10-06,Transporte,142
2025-12-05,Sa̼de,93
2025-09-24,Lazer,316
2025-04-21,Lazer,273
2025-08-03,Alimenta̤̣o,316
2025-11-14,Sa̼de,146
2025-03-13,Alimenta̤̣o,19
2025-06-04,Alimenta̤̣o,282
2025-12-06,Transporte,67
2025-06-19,Sa̼de,130
2025-10-18,Lazer,190
2025-07-08,Moradia,346
2025-10-31,Alimenta̤̣o,253
2025-04-12,Sa̼de,25
2025-11-27,Sa̼de,329
2025-02-23,Sa̼de,124
2025-07-25,Alimenta̤̣o,55
2025-12-03,Transporte,226
2025-04-09,Transporte,206
2025-04-19,Moradia,243
2025-01-19,Alimenta̤̣o,159
2025-05-10,Moradia,48
2025-10-31,Sa̼de,44
2025-02-18,Lazer,49
2025-02-12,Sa̼de,128
2025-07-21,Lazer,185
2025-08-20,Lazer,233
2025-01-05,Sa̼de,38
2025-01-22,Moradia,271
2025-11-04,Moradia,250
2025-02-14,Moradia,53
2025-08-16,Transporte,157
2025-09-10,Moradia,242
2025-04-07,Lazer,53
2025-05-12,Lazer,23
2025-12-10,Lazer,107
2025-03-10,Sa̼de,329
2025-05-30,Alimenta̤̣o,240
2025-11-07,Sa̼de,77
2025-07-17,Alimenta̤̣o,214
2025-01-28,Alimenta̤̣o,191
2025-01-12,Transporte,198
2025-06-22,Lazer,74
2025-10-04,Moradia,331
2025-09-09,Alimenta̤̣o,111
2025-11-28,Lazer,174
2025-10-13,Transporte,56
2025-05-21,Sa̼de,130
2025-12-06,Alimenta̤̣o,203
2025-08-18,Sa̼de,54
2025-07-01,Sa̼de,143
2025-03-15,Lazer,28
2025-08-24,Lazer,73
2025-04-21,Transporte,269
2025-06-29,Moradia,212
2025-01-30,Sa̼de,71
2025-11-19,Alimenta̤̣o,308
2025-08-23,Sa̼de,226
2025-08-09,Lazer,27
2025-09-07,Sa̼de,41
2025-10-05,Lazer,74
2025-09-25,Alimenta̤̣o,325
2025-11-28,Transporte,191
2025-06-07,Alimenta̤̣o,313
2025-05-07,Moradia,281
2025-02-13,Alimenta̤̣o,58
2025-02-16,Alimenta̤̣o,299
2025-03-18,Lazer,242
2025-08-24,Sa̼de,62
2025-08-10,Moradia,148
2025-10-29,Sa̼de,138
2025-08-27,Moradia,210
2025-01-12,Alimenta̤̣o,337
2025-06-21,Moradia,216
2025-03-10,Alimenta̤̣o,156
2025-01-13,Moradia,293
2025-08-13,Alimenta̤̣o,204
2025-08-27,Alimenta̤̣o,71
2025-09-18,Lazer,88
2025-04-15,Moradia,216
2025-11-20,Transporte,298
2025-06-21,Transporte,343
2025-10-29,Transporte,34
2025-01-17,Alimenta̤̣o,119
2025-12-03,Moradia,225
2025-09-21,Lazer,145
2025-05-22,Alimenta̤̣o,155
2025-02-07,Lazer,149
2025-02-17,Lazer,244
2025-10-19,Alimenta̤̣o,266
2025-04-23,Sa̼de,101
2025-06-23,Alimenta̤̣o,260
2025-01-31,Lazer,28
2025-07-13,Moradia,155
2025-02-04,Moradia,153
2025-06-24,Sa̼de,226
2025-05-17,Sa̼de,163
2025-02-03,Lazer,277
2025-06-12,Moradia,329
2025-02-01,Moradia,130
2025-04-20,Alimenta̤̣o,286
2025-06-04,Moradia,169
2025-07-13,Sa̼de,96
2025-06-19,Lazer,211
2025-01-30,Moradia,112
2025-02-08,Lazer,53
2025-09-25,Moradia,183
2025-07-05,Alimenta̤̣o,330
2025-05-13,Transporte,237
2025-03-02,Transporte,50
2025-02-27,Moradia,34
2025-08-27,Lazer,284
2025-12-03,Lazer,288
2025-04-05,Lazer,289
2025-07-30,Moradia,23
2025-10-12,Alimenta̤̣o,330
2025-10-26,Transporte,206
2025-01-31,Sa̼de,234
2025-11-07,Alimenta̤̣o,165
2025-12-09,Transporte,120
2025-03-08,Alimenta̤̣o,333
2025-04-27,Lazer,288
2025-08-03,Transporte,37
2025-10-12,Sa̼de,350
2025-09-13,Moradia,252
2025-11-25,Lazer,275
2025-12-11,Lazer,120
2025-04-12,Moradia,238
2025-10-12,Sa̼de,230
2025-06-12,Sa̼de,171
2025-08-23,Sa̼de,320
2025-06-08,Lazer,95
2025-04-27,Transporte,309
2025-08-12,Alimenta̤̣o,156
2025-12-06,Transporte,272
2025-08-31,Alimenta̤̣o,56
2025-03-22,Sa̼de,203
2025-03-07,Moradia,337
2025-06-03,Sa̼de,192
2025-02-28,Transporte,26
2025-05-08,Lazer,47
2025-10-20,Alimenta̤̣o,337
2025-08-20,Lazer,100
2025-02-11,Sa̼de,57
2025-03-09,Alimenta̤̣o,105
2025-08-16,Sa̼de,74
2025-02-10,Sa̼de,284
2025-08-14,Transporte,119
2025-05-08,Transporte,167
2025-03-23,Alimenta̤̣o,49
2025-04-13,Lazer,262
2025-09-13,Lazer,326
2025-03-01,Alimenta̤̣o,128
2025-11-23,Moradia,279
2025-06-28,Sa̼de,337
2025-02-26,Alimenta̤̣o,202
2025-04-17,Moradia,322
2025-12-02,Lazer,158
2025-04-05,Moradia,322
2025-10-12,Moradia,209
2025-03-26,Lazer,46
2025-03-15,Lazer,333
2025-02-08,Transporte,292
2025-04-08,Alimenta̤̣o,285
2025-07-17,Moradia,181
2025-06-11,Lazer,81
2025-04-12,Sa̼de,56
2025-03-21,Lazer,330
2025-04-26,Alimenta̤̣o,324
2025-07-28,Moradia,243
2025-05-13,Sa̼de,269
2025-06-10,Transporte,155
2025-11-09,Transporte,155
2025-11-16,Alimenta̤̣o,42
2025-02-04,Moradia,128
2025-02-17,Lazer,297
2025-01-10,Alimenta̤̣o,234
2025-11-16,Moradia,255
2025-12-02,Sa̼de,95
2025-05-18,Transporte,154
2025-11-04,Lazer,295
2025-01-27,Alimenta̤̣o,208
2025-11-21,Moradia,320
2025-01-09,Alimenta̤̣o,109
2025-11-12,Transporte,349
2025-05-23,Transporte,117
2025-02-13,Alimenta̤̣o,207
2025-11-14,Sa̼de,343
2025-07-12,Alimenta̤̣o,231
2025-01-13,Alimenta̤̣o,325
2025-10-16,Sa̼de,285
2025-04-07,Transporte,181
2025-12-01,Lazer,66
2025-06-28,Alimenta̤̣o,198
2025-06-11,Sa̼de,130
2025-08-03,Lazer,209
2025-11-09,Sa̼de,134
2025-05-08,Alimenta̤̣o,90
2025-11-15,Moradia,347
2025-01-23,Lazer,303
2025-05-30,Transporte,50
2025-05-27,Lazer,115
2025-04-15,Moradia,229
2025-06-27,Moradia,61
2025-03-03,Lazer,324
2025-10-08,Transporte,300
2025-08-26,Transporte,193
2025-06-29,Sa̼de,280
2025-11-18,Transporte,333
2025-02-16,Lazer,311
2025-10-25,Sa̼de,262
2025-04-07,Moradia,57
2025-12-03,Sa̼de,102
2025-04-03,Moradia,158
2025-02-26,Alimenta̤̣o,107
2025-11-06,Moradia,16
2025-05-04,Moradia,62
2025-09-14,Sa̼de,150
2025-10-17,Moradia,348
2025-03-23,Lazer,93
2025-07-09,Alimenta̤̣o,292
2025-10-27,Sa̼de,59
2025-09-18,Moradia,323
2025-02-08,Lazer,318
2025-04-10,Lazer,32
2025-02-02,Alimenta̤̣o,112
2025-03-05,Transporte,144
2025-04-14,Lazer,74
2025-01-10,Alimenta̤̣o,54
2025-03-06,Transporte,326
2025-11-09,Transporte,74
2025-07-02,Sa̼de,224
2025-11-26,Alimenta̤̣o,267
2025-04-05,Moradia,60
2025-08-03,Lazer,117
2025-09-10,Sa̼de,219
2025-09-22,Transporte,77
2025-10-02,Moradia,258
2025-05-17,Transporte,258
2025-11-22,Transporte,69
2025-01-09,Transporte,350
2025-07-06,Transporte,60
2025-07-24,Sa̼de,66
2025-04-18,Sa̼de,165
2025-07-09,Lazer,172
2025-05-14,Lazer,299
2025-03-26,Transporte,322
2025-12-13,Transporte,16
2025-04-14,Moradia,225
2025-09-12,Moradia,42
2025-11-25,Moradia,290
2025-09-04,Transporte,251
2025-01-26,Transporte,46
2025-08-25,Lazer,149
2025-06-15,Sa̼de,159
2025-10-28,Lazer,251
2025-10-22,Sa̼de,190
2025-01-03,Lazer,288
2025-06-09,Moradia,61
2025-06-12,Sa̼de,43
2025-10-21,Sa̼de,65
2025-02-08,Alimenta̤̣o,103
2025-04-07,Sa̼de,19
2025-09-09,Lazer,38
2025-08-21,Lazer,230
2025-05-18,Sa̼de,16
2025-07-15,Lazer,332
2025-06-03,Alimenta̤̣o,342
2025-06-22,Moradia,290
2025-01-29,Sa̼de,326
2025-03-01,Sa̼de,63
2025-09-24,Moradia,76
2025-08-01,Lazer,248
2025-06-24,Alimenta̤̣o,274
2025-08-16,Moradia,15
2025-11-16,Transporte,175
2025-04-24,Lazer,265
2025-01-18,Transporte,55
2025-06-18,Moradia,256
2025-06-02,Transporte,343
2025-02-08,Alimenta̤̣o,115
2025-04-19,Alimenta̤̣o,310
2025-01-01,Lazer,100
2025-07-28,Alimenta̤̣o,202
2025-01-28,Alimenta̤̣o,277
2025-03-26,Sa̼de,155
2025-08-26,Lazer,86
2025-10-24,Transporte,92
2025-05-05,Sa̼de,324
2025-05-03,Alimenta̤̣o,91
2025-07-28,Sa̼de,162
2025-05-26,Transporte,126
2025-06-04,Transporte,312
2025-03-16,Alimenta̤̣o,31
2025-10-23,Transporte,100
2025-03-16,Lazer,312
2025-06-18,Moradia,222
2025-08-07,Moradia,140
2025-02-06,Lazer,299
2025-11-18,Alimenta̤̣o,65
2025-03-16,Alimenta̤̣o,261
2025-06-20,Sa̼de,102
2025-07-18,Lazer,327
2025-11-17,Sa̼de,214
2025-11-25,Moradia,115
2025-05-04,Moradia,54
2025-04-03,Alimenta̤̣o,301
2025-11-09,Sa̼de,73
2025-09-09,Moradia,235
2025-01-01,Lazer,315
2025-01-06,Sa̼de,333
2025-04-22,Alimenta̤̣o,123
2025-03-04,Transporte,36
2025-02-10,Lazer,278
2025-05-05,Lazer,318
2025-02-08,Transporte,190
2025-07-28,Transporte,235
2025-09-23,Transporte,103
2025-01-26,Transporte,37
2025-11-23,Moradia,255
2025-11-29,Lazer,236
2025-10-14,Alimenta̤̣o,304
2025-08-23,Moradia,159
2025-09-19,Alimenta̤̣o,200
2025-04-30,Alimenta̤̣o,187
2025-06-19,Moradia,56
2025-09-08,Transporte,27
2025-08-08,Lazer,288
2025-01-06,Moradia,87
2025-12-13,Lazer,252
2025-03-30,Alimenta̤̣o,176
2025-12-08,Lazer,232
2025-06-28,Alimenta̤̣o,330
2025-05-26,Transporte,28
2025-03-04,Transporte,140
2025-07-03,Lazer,89
2025-04-25,Moradia,116
2025-05-26,Transporte,16
2025-08-01,Alimenta̤̣o,309
2025-02-24,Lazer,293
2025-10-08,Moradia,35
2025-08-03,Lazer,343
2025-04-30,Transporte,150
2025-08-29,Lazer,319
2025-03-02,Lazer,32
2025-01-23,Alimenta̤̣o,156
2025-11-28,Lazer,46
2025-06-18,Alimenta̤̣o,321
2025-09-09,Transporte,78
2025-03-27,Alimenta̤̣o,240
2025-05-05,Transporte,158
2025-03-28,Moradia,20

